"","ID","Price","Levy","Manufacturer","Model","Prod..year","Category","Leather.interior","Fuel.type","Mileage","Cylinders","Gear.box.type","Drive.wheels","Color","Airbags"
"1",45654403,13328,1399,"LEXUS","RX 450",2010,"Jeep",TRUE,"Hybrid",186005,6,"Automatic","4x4","Silver",12
"2",44731507,16621,1018,"CHEVROLET","Equinox",2011,"Jeep",FALSE,"Petrol",192000,6,"Tiptronic","4x4","Black",8
"3",45774419,8467,0,"HONDA","FIT",2006,"Hatchback",FALSE,"Petrol",2e+05,4,"Variator","Front","Black",2
"4",45769185,3607,862,"FORD","Escape",2011,"Jeep",TRUE,"Hybrid",168966,4,"Automatic","4x4","White",0
"5",45809263,11726,446,"HONDA","FIT",2014,"Hatchback",TRUE,"Petrol",91901,4,"Automatic","Front","Silver",4
"6",45802912,39493,891,"HYUNDAI","Santa FE",2016,"Jeep",TRUE,"Diesel",160931,4,"Automatic","Front","White",4
"7",45756839,26657,0,"LEXUS","RX 350",2007,"Jeep",TRUE,"Petrol",128500,6,"Automatic","4x4","Silver",12
"8",45621750,941,1053,"MERCEDES-BENZ","E 350",2014,"Sedan",TRUE,"Diesel",184467,6,"Automatic","Rear","White",12
"9",45814819,8781,0,"FORD","Transit",1999,"Microbus",FALSE,"CNG",0,8,"Manual","Rear","Blue",0
"10",45661288,1019,1055,"LEXUS","RX 450",2013,"Jeep",TRUE,"Hybrid",138038,6,"Automatic","Front","White",12
"11",45732604,59464,891,"HYUNDAI","Santa FE",2016,"Jeep",TRUE,"Diesel",76000,4,"Automatic","Front","White",4
"12",45465200,549,1079,"TOYOTA","CHR",2018,"Jeep",TRUE,"Petrol",74146,4,"Automatic","Front","White",12
"13",45772281,7683,810,"HYUNDAI","Elantra",2016,"Sedan",TRUE,"Petrol",121840,4,"Automatic","Front","Blue",12
"14",45797221,28382,810,"HYUNDAI","Elantra",2016,"Sedan",TRUE,"Petrol",54317,4,"Automatic","Front","White",4
"15",45801686,18826,531,"HYUNDAI","Elantra",2012,"Sedan",TRUE,"Petrol",112645,4,"Automatic","Front","Silver",4
"16",45168471,20698,586,"TOYOTA","Prius",2012,"Sedan",TRUE,"Plug-in Hybrid",187000,4,"Automatic","Front","White",12
"17",45751951,17562,1249,"TOYOTA","Camry",2017,"Sedan",TRUE,"Petrol",39709,4,"Automatic","Front","Black",12
"18",45813492,4704,0,"OPEL","Vectra",1995,"Sedan",FALSE,"Petrol",0,4,"Automatic","Front","Green",4
"19",45759112,549,2455,"LEXUS","GX 470",2008,"Jeep",TRUE,"Petrol",0,8,"Automatic","4x4","White",0
"20",45804684,30,0,"TOYOTA","Prius",2008,"Sedan",FALSE,"Hybrid",169000,4,"Automatic","Front","White",8
"21",45801525,14454,583,"HYUNDAI","Elantra",2011,"Sedan",TRUE,"Petrol",158787,4,"Automatic","Front","Silver",4
"22",44944581,15681,1288,"MERCEDES-BENZ","Vito",2007,"Goods wagon",FALSE,"Diesel",180000,6,"Manual","Rear","White",4
"23",45760983,19444,915,"PORSCHE","Cayenne",2014,"Jeep",TRUE,"Diesel",175056,6,"Automatic","4x4","White",12
"24",45790136,6899,0,"BMW","X5",2000,"Jeep",TRUE,"CNG",2e+05,8,"Automatic","4x4","Silver",6
"25",45732374,23235,707,"HYUNDAI","Santa FE",2011,"Jeep",TRUE,"Diesel",162000,4,"Automatic","Front","Grey",4
"26",45369569,51746,1077,"TOYOTA","CHR Limited",2019,"Jeep",FALSE,"Petrol",10200,4,"Tiptronic","Front","Red",12
"27",45642526,7527,1486,"HONDA","FIT",2010,"Hatchback",FALSE,"Hybrid",158000,4,"Automatic","Front","Black",4
"28",45801668,19121,531,"HYUNDAI","Elantra",2012,"Sedan",TRUE,"Petrol",103490,4,"Automatic","Front","Silver",4
"29",45797488,45734,1091,"HYUNDAI","H1",2016,"Universal",TRUE,"Diesel",61057,4,"Automatic","Front","Black",4
"30",45667253,20165,650,"VOLKSWAGEN","Jetta",2016,"Sedan",TRUE,"Petrol",11200,4,"Tiptronic","Front","Black",8
"31",45108412,21326,382,"HYUNDAI","Sonata",2014,"Sedan",TRUE,"Hybrid",141000,4,"Tiptronic","Front","White",12
"32",45810322,549,1436,"PORSCHE","Cayenne",2010,"Jeep",TRUE,"Petrol",160259,6,"Automatic","4x4","Silver",12
"33",45726453,15681,503,"TOYOTA","Prius C",2012,"Hatchback",FALSE,"Hybrid",128000,4,"Variator","Front","Sky blue",8
"34",45732544,55390,1017,"HYUNDAI","Santa FE",2017,"Jeep",TRUE,"Diesel",100734,4,"Automatic","Front","Black",4
"35",45811563,12544,0,"TOYOTA","Aqua",2012,"Hatchback",FALSE,"Hybrid",141500,4,"Automatic","Front","Black",8
"36",45699930,17249,0,"FORD","Escape Hybrid",2008,"Jeep",FALSE,"Hybrid",147000,4,"Variator","4x4","White",8
"37",45809839,34889,891,"HONDA","Civic",2016,"Sedan",TRUE,"Petrol",87768,4,"Automatic","Front","Blue",4
"38",45802148,14583,0,"RENAULT","Megane 1.5CDI",2008,"Sedan",FALSE,"Diesel",132542,4,"Manual","Front","White",10
"39",45769316,392,1017,"MERCEDES-BENZ","E 300",2017,"Sedan",TRUE,"Petrol",1600,4,"Automatic","Rear","Black",12
"40",44153312,38500,639,"AUDI","Q5",2014,"Jeep",TRUE,"Petrol",87000,1,"Tiptronic","4x4","White",12
"41",44316016,87112,0,"MERCEDES-BENZ","GLA 250",2019,"Jeep",TRUE,"Petrol",5323,4,"Tiptronic","4x4","Grey",0
"42",45641216,1411,629,"NISSAN","Juke",2015,"Jeep",TRUE,"Petrol",87112,4,"Automatic","4x4","Black",0
"43",44679525,23521,781,"CHEVROLET","Cruze LT",2018,"Sedan",FALSE,"Petrol",22000,4,"Automatic","Front","Red",6
"44",45418626,16935,530,"FORD","Fusion",2013,"Sedan",FALSE,"Petrol",83000,4,"Tiptronic","Front","Silver",8
"45",45323316,10349,0,"TOYOTA","VOXY",2007,"Minivan",TRUE,"Petrol",170000,4,"Automatic","Front","Black",6
"46",45778144,5331,0,"MERCEDES-BENZ","A 160",2004,"Sedan",FALSE,"Petrol",130000,4,"Tiptronic","Front","Black",6
"47",45802190,34657,777,"HYUNDAI","H1",2014,"Minivan",TRUE,"Diesel",154672,4,"Automatic","Front","Silver",4
"48",45802203,36564,1091,"HYUNDAI","H1",2016,"Minivan",TRUE,"Diesel",110969,4,"Automatic","Front","Black",4
"49",45802120,30063,934,"HYUNDAI","H1",2015,"Universal",TRUE,"Diesel",148105,4,"Automatic","Front","Silver",4
"50",45797480,43952,1249,"HYUNDAI","H1",2017,"Universal",TRUE,"Diesel",111643,4,"Automatic","Front","Grey",4
"51",45732043,53154,891,"HYUNDAI","Santa FE",2016,"Jeep",TRUE,"Diesel",84506,4,"Automatic","Front","Silver",4
"52",45624039,42337,0,"FORD","Mustang",2016,"Cabriolet",TRUE,"Petrol",75000,4,"Tiptronic","Rear","Silver",6
"53",45814804,3763,1053,"MERCEDES-BENZ","ML 350",2014,"Jeep",TRUE,"Petrol",94362,6,"Automatic","Rear","White",12
"54",45787521,18189,0,"TOYOTA","Prius",2012,"Sedan",FALSE,"Petrol",175000,4,"Automatic","Front","Silver",8
"55",45758167,220,1185,"FORD","Escape",2009,"Jeep",TRUE,"Hybrid",193614,4,"Automatic","Front","White",0
"56",45757322,7527,830,"TOYOTA","Yaris",2019,"Sedan",TRUE,"Petrol",27656,4,"Automatic","Front","White",12
"57",45800993,21953,1187,"HONDA","Civic",2014,"Sedan",FALSE,"Hybrid",16000,8,"Automatic","4x4","White",10
"58",45765301,8154,0,"HONDA","Cr-v",1998,"Jeep",FALSE,"Petrol",0,4,"Automatic","4x4","White",2
"59",45771208,21953,781,"TOYOTA","Camry",2012,"Sedan",FALSE,"Petrol",195053,4,"Automatic","Front","Black",0
"60",45801684,19121,531,"HYUNDAI","Elantra",2012,"Sedan",TRUE,"Petrol",121362,4,"Automatic","Front","Black",4
"61",45732386,36065,639,"HYUNDAI","Santa FE",2014,"Jeep",TRUE,"Diesel",69191,4,"Automatic","Front","White",4
"62",43892866,8781,1111,"HONDA","FIT",2012,"Hatchback",TRUE,"Hybrid",83000,4,"Tiptronic","Front","Green",12
"63",45810403,6247,760,"CHEVROLET","Cruze",2010,"Sedan",TRUE,"Petrol",40772,4,"Automatic","Front","Black",4
"64",45810513,16289,642,"CHEVROLET","Orlando",2012,"Jeep",TRUE,"Diesel",172000,4,"Automatic","Front","Grey",4
"65",45769914,549,781,"SUBARU","Forester",2012,"Jeep",TRUE,"Petrol",148213,4,"Automatic","4x4","Blue",0
"66",45744824,6981,1095,"DAEWOO","Lacetti",2008,"Sedan",TRUE,"Petrol",103246,4,"Automatic","Front","Black",4
"67",45792882,27284,891,"HYUNDAI","Elantra",2016,"Sedan",FALSE,"Petrol",105394,4,"Tiptronic","Front","Black",12
"68",45330228,32929,0,"BMW","428 Sport Line",2013,"Coupe",TRUE,"Petrol",160000,4,"Automatic","Rear","Black",12
"69",45749534,4234,0,"HONDA","Civic",1997,"Hatchback",TRUE,"Petrol",0,4,"Manual","Front","Blue",6
"70",45797276,15458,966,"HYUNDAI","Genesis",2009,"Coupe",TRUE,"Petrol",123346,4,"Automatic","Front","Black",4
"71",45809760,2901,473,"CHEVROLET","Cruze",2014,"Sedan",TRUE,"Petrol",80827,4,"Automatic","Front","Green",12
"72",45810325,706,1138,"PORSCHE","911",2013,"Coupe",TRUE,"Petrol",64464,6,"Automatic","Rear","Black",12
"73",45813375,314,382,"FORD","Fusion",2015,"Sedan",TRUE,"Hybrid",91760,4,"Automatic","Front","Black",12
"74",44094036,12858,765,"FORD","Focus SE",2015,"Sedan",FALSE,"Petrol",91200,4,"Automatic","Front","Sky blue",10
"75",45642797,1019,917,"BMW","X5",2013,"Jeep",TRUE,"Diesel",137802,6,"Automatic","4x4","Black",12
"76",45760895,549,917,"BMW","535",2013,"Sedan",TRUE,"Hybrid",151586,6,"Automatic","Rear","White",12
"77",45742789,12858,0,"KIA","Picanto",2016,"Hatchback",FALSE,"Petrol",107000,4,"Manual","Front","Silver",2
"78",45808992,85553,1156,"FORD","Explorer",2017,"Jeep",TRUE,"Petrol",100567,4,"Automatic","Front","Black",4
"79",45731735,44752,1091,"HYUNDAI","H1",2016,"Universal",TRUE,"Diesel",86000,4,"Automatic","Front","Grey",4
"80",45797948,17158,687,"HYUNDAI","Elantra",2010,"Sedan",TRUE,"Petrol",122740,4,"Automatic","Front","White",4
"81",45782067,12231,0,"MITSUBISHI","Airtrek",2005,"Jeep",FALSE,"LPG",144000,4,"Tiptronic","4x4","White",16
"82",45534351,11917,11714,"MERCEDES-BENZ","E 500 AMG",2003,"Sedan",TRUE,"Petrol",150000,12,"Tiptronic","Rear","White",12
"83",45753393,1254,0,"MITSUBISHI","Lancer",1997,"Sedan",FALSE,"Petrol",1e+05,4,"Manual","Rear","Red",0
"84",45624923,94,0,"HONDA","FIT",2003,"Hatchback",FALSE,"Petrol",178000,4,"Variator","Front","Silver",4
"85",45726679,25591,640,"SSANGYONG","Korando",2013,"Jeep",TRUE,"Diesel",85704,4,"Automatic","Front","Silver",4
"86",45803059,14897,836,"HYUNDAI","Santa FE",2010,"Jeep",TRUE,"Diesel",58962,4,"Automatic","Front","White",4
"87",45770405,23521,779,"TOYOTA","Camry",2013,"Sedan",TRUE,"Hybrid",90000,4,"Tiptronic","Front","White",12
"88",45787329,3450,0,"RENAULT","Clio",1995,"Hatchback",FALSE,"Petrol",50000,3,"Manual","Front","Green",0
"89",45763505,706,777,"MAZDA","616",2014,"Sedan",TRUE,"Petrol",0,4,"Automatic","Front","Red",12
"90",45636958,16935,765,"FORD","Fusion",2015,"Sedan",TRUE,"Petrol",71454,4,"Automatic","Front","Black",0
"91",45757670,19444,781,"TOYOTA","Camry",2012,"Sedan",TRUE,"Petrol",0,4,"Tiptronic","Front","Black",6
"92",45802837,51965,891,"HYUNDAI","Santa FE",2016,"Jeep",TRUE,"Diesel",59515,4,"Automatic","Front","Blue",4
"93",45646428,706,394,"TOYOTA","Camry",2014,"Sedan",TRUE,"Hybrid",115312,4,"Automatic","Front","Grey",12
"94",45801896,9408,0,"MERCEDES-BENZ","C 220",1999,"Sedan",FALSE,"Diesel",111111,4,"Manual","Rear","Silver",4
"95",45797732,13328,1347,"HYUNDAI","H1",2008,"Minivan",TRUE,"Diesel",74444,4,"Automatic","Front","Yellow",4
"96",45762683,17876,0,"NISSAN","Serena",2012,"Minivan",FALSE,"Petrol",143000,4,"Tiptronic","Front","White",12
"97",45732074,20071,0,"TOYOTA","RAV 4",2008,"Jeep",FALSE,"Petrol",135000,4,"Automatic","4x4","Silver",8
"98",45731782,22894,862,"HYUNDAI","H1",2011,"Minivan",TRUE,"Diesel",124444,4,"Automatic","Front","Yellow",4
"99",45662111,2901,503,"HONDA","Civic",2012,"Sedan",TRUE,"Hybrid",146403,4,"Automatic","Front","White",0
"100",45766794,15681,0,"MITSUBISHI","Pajero",1997,"Jeep",FALSE,"Petrol",142000,4,"Automatic","4x4","Blue",6
"101",45764126,39829,1811,"LEXUS","GX 460",2010,"Jeep",TRUE,"Petrol",155821,8,"Automatic","4x4","Black",0
"102",45768549,706,1646,"LEXUS","GX 460",2015,"Jeep",TRUE,"Petrol",102907,8,"Automatic","4x4","Black",0
"103",44698379,18660,0,"HYUNDAI","Sonata",2013,"Sedan",TRUE,"Petrol",130000,4,"Tiptronic","Front","Black",6
"104",45770233,22580,1017,"MERCEDES-BENZ","E 300",2017,"Sedan",TRUE,"Petrol",50930,4,"Automatic","Rear","Black",12
"105",45760030,314,259,"CHEVROLET","Volt",2014,"Hatchback",TRUE,"Hybrid",131893,4,"Automatic","Front","Brown",0
"106",45810339,5488,751,"GMC","TERRAIN",2013,"Jeep",TRUE,"Petrol",138958,4,"Automatic","Front","Black",12
"107",45642844,18817,609,"TOYOTA","Camry",2018,"Sedan",TRUE,"Hybrid",35058,4,"Automatic","Front","White",12
"108",44921934,21169,697,"HONDA","Hr-v EX",2015,"Jeep",FALSE,"Petrol",33330,4,"Automatic","4x4","Grey",8
"109",45462592,9095,0,"FIAT","500",2011,"Coupe",FALSE,"Petrol",141000,4,"Automatic","Front","Red",4
"110",45634898,1568,639,"VOLKSWAGEN","Jetta",2014,"Sedan",TRUE,"Diesel",82392,4,"Automatic","Front","Silver",12
"111",45777114,3136,0,"SUBARU","Legacy",2005,"Goods wagon",FALSE,"Petrol",180000,6,"Tiptronic","4x4","Blue",6
"112",45451626,17876,585,"HYUNDAI","Elantra sport limited",2013,"Sedan",TRUE,"Petrol",117920,4,"Tiptronic","Front","Grey",12
"113",45648000,862,394,"TOYOTA","Camry",2014,"Sedan",TRUE,"Hybrid",130478,4,"Automatic","Front","White",12
"114",45796845,21395,781,"HYUNDAI","H1",2012,"Universal",TRUE,"Diesel",166144,4,"Automatic","Front","Silver",4
"115",45762282,627,475,"CHEVROLET","Volt",2012,"Jeep",TRUE,"Hybrid",188419,4,"Automatic","Front","Red",0
"116",45810003,40070,690,"TOYOTA","Aqua",2016,"Hatchback",TRUE,"Petrol",25807,4,"Automatic","Front","Black",4
"117",44875253,11917,0,"MERCEDES-BENZ","A 170",2008,"Hatchback",FALSE,"Petrol",180000,4,"Automatic","Front","Golden",8
