ID,Price,Levy,Manufacturer,Model,Prod..year,Category,Leather.interior,Fuel.type,Mileage,Cylinders,Gear.box.type,Drive.wheels,Color,Airbags
45654403,13328,1399,LEXUS,RX 450,2010,Jeep,TRUE,Hybrid,186005,6,Automatic,4x4,Silver,12
44731507,16621,1018,CHEVROLET,Equinox,2011,Jeep,FALSE,Petrol,192000,6,Tiptronic,4x4,Black,8
45809263,11726,446,HONDA,FIT,2014,Hatchback,TRUE,Petrol,91901,4,Automatic,Front,Silver,4
45802912,39493,891,HYUNDAI,Santa FE,2016,Jeep,TRUE,Diesel,160931,4,Automatic,Front,White,4
45756839,26657,0,LEXUS,RX 350,2007,Jeep,TRUE,Petrol,128500,6,Automatic,4x4,Silver,12
45732604,59464,891,HYUNDAI,Santa FE,2016,Jeep,TRUE,Diesel,76000,4,Automatic,Front,White,4
45797221,28382,810,HYUNDAI,Elantra,2016,Sedan,TRUE,Petrol,54317,4,Automatic,Front,White,4
45801686,18826,531,HYUNDAI,Elantra,2012,Sedan,TRUE,Petrol,112645,4,Automatic,Front,Silver,4
45168471,20698,586,TOYOTA,Prius,2012,Sedan,TRUE,Plug-in Hybrid,187000,4,Automatic,Front,White,12
45751951,17562,1249,TOYOTA,Camry,2017,Sedan,TRUE,Petrol,39709,4,Automatic,Front,Black,12
45801525,14454,583,HYUNDAI,Elantra,2011,Sedan,TRUE,Petrol,158787,4,Automatic,Front,Silver,4
44944581,15681,1288,MERCEDES-BENZ,Vito,2007,Goods wagon,FALSE,Diesel,180000,6,Manual,Rear,White,4
45760983,19444,915,PORSCHE,Cayenne,2014,Jeep,TRUE,Diesel,175056,6,Automatic,4x4,White,12
45732374,23235,707,HYUNDAI,Santa FE,2011,Jeep,TRUE,Diesel,162000,4,Automatic,Front,Grey,4
45369569,51746,1077,TOYOTA,CHR Limited,2019,Jeep,FALSE,Petrol,10200,4,Tiptronic,Front,Red,12
45801668,19121,531,HYUNDAI,Elantra,2012,Sedan,TRUE,Petrol,103490,4,Automatic,Front,Silver,4
45797488,45734,1091,HYUNDAI,H1,2016,Universal,TRUE,Diesel,61057,4,Automatic,Front,Black,4
45667253,20165,650,VOLKSWAGEN,Jetta,2016,Sedan,TRUE,Petrol,11200,4,Tiptronic,Front,Black,8
45108412,21326,382,HYUNDAI,Sonata,2014,Sedan,TRUE,Hybrid,141000,4,Tiptronic,Front,White,12
45726453,15681,503,TOYOTA,Prius C,2012,Hatchback,FALSE,Hybrid,128000,4,Variator,Front,Sky blue,8
45732544,55390,1017,HYUNDAI,Santa FE,2017,Jeep,TRUE,Diesel,100734,4,Automatic,Front,Black,4
45811563,12544,0,TOYOTA,Aqua,2012,Hatchback,FALSE,Hybrid,141500,4,Automatic,Front,Black,8
45699930,17249,0,FORD,Escape Hybrid,2008,Jeep,FALSE,Hybrid,147000,4,Variator,4x4,White,8
